id,placeID,Rcuisine
1,132001,Dutch-Belgian
2,132002,Seafood
3,132003,International
4,132004,Seafood
5,132005,French
6,132005,Seafood
7,132006,Dutch-Belgian
8,132007,Mediterranean
9,132008,International
10,132009,International
11,132010,Mediterranean
12,132010,Dutch-Belgian
13,132012,French
14,132012,Dutch-Belgian
15,132013,International
16,132014,Dutch-Belgian
17,132015,Dutch-Belgian
18,132016,International
19,132017,Dutch-Belgian
20,132018,Dutch-Belgian
21,132019,Dutch-Belgian
22,132020,International
23,132021,Dutch-Belgian
24,132022,Dutch-Belgian
25,132023,French
26,132023,Dutch-Belgian
27,132024,Seafood
28,132024,Continental-European
29,132025,Dutch-Belgian
30,132026,Dutch-Belgian
31,132028,Italian
32,132028,Seafood
33,132030,French
34,132030,Dutch-Belgian
35,132031,Family
36,132031,German
37,132031,Fine_Dining
38,132083,International
39,132087,Cafe-Coffee_Shop
40,132092,Family
41,132094,Pizzeria
42,132096,Dutch-Belgian
43,132097,Cafe-Coffee_Shop
44,132098,Dutch-Belgian
45,132100,American
46,132100,Bar_Pub_Brewery
47,132101,American
48,132101,Bar_Pub_Brewery
49,132102,Cafe-Coffee_Shop
50,132103,Italian
51,132105,French
52,132106,Vegetarian
53,132107,Japanese
54,132108,Japanese
55,132108,Steaks
56,132108,Sushi
57,132109,Vegetarian
58,132109,Organic-Healthy
59,132114,Cafe-Coffee_Shop
60,132115,Asian
61,132116,Asian
62,132118,Vegetarian
63,132119,Vegetarian
64,132120,Asian
65,132121,Italian
66,132125,Family
67,132125,Mexican
68,132126,Family
69,132126,Mexican
70,132127,Eastern_European
71,132128,Vegetarian
72,132128,Fast_Food
73,132130,Turkish
74,132131,Italian
75,132132,Pizzeria
76,132133,Japanese
77,132136,Pizzeria
78,132137,Pizzeria
79,132137,Deli-Sandwiches
80,132138,Bakery
81,132145,Deli-Sandwiches
82,132146,Deli-Sandwiches
83,132147,Pizzeria
84,132147,Deli-Sandwiches
85,132155,French
86,132155,Mediterranean
87,132156,Dutch-Belgian
88,132157,Greek
89,132159,French
90,132160,Dutch-Belgian
91,132161,French
92,132161,International
93,132162,International
94,132163,Cafe-Coffee_Shop
95,132164,International
96,132165,International
97,132166,French
98,132166,International
99,132166,Dutch-Belgian
100,132167,Bar_Pub_Brewery
101,132171,Asian
102,132171,Chinese
103,132174,Chinese
104,132175,Chinese
105,132177,Bagels
106,132177,Cafe-Coffee_Shop
107,132177,Deli-Sandwiches
108,132180,Italian
109,132182,Italian
110,132182,Continental-European
111,132184,Italian
112,132184,Mediterranean
113,132186,Pizzeria
114,132186,Italian
115,132187,Cafe-Coffee_Shop
116,132187,Bar_Pub_Brewery
117,132191,Polish
118,132192,Dutch-Belgian
119,132201,French
120,132203,Dutch-Belgian
121,132204,International
122,132206,International
123,132207,International
124,132207,Italian
125,132208,Dutch-Belgian
126,132209,Chinese
127,132210,Chinese
128,132211,French
129,132212,French
130,132213,Cafe-Coffee_Shop
131,132214,American
132,132214,Bar_Pub_Brewery
133,132215,Dutch-Belgian
134,132216,Pizzeria
135,132216,Italian
136,132217,Pizzeria
137,132217,Italian
138,132218,Dutch-Belgian
139,132220,French
140,132221,American
141,132223,Bakery
142,132223,Cafe-Coffee_Shop
143,132223,Deli-Sandwiches
144,132225,Chinese
145,132226,American
146,132226,Seafood
147,132228,California
148,132228,Italian
149,132229,Italian
150,132230,Italian
151,132231,Italian
152,132232,Italian
153,132233,Italian
154,132234,Italian
155,132235,American
156,132235,Burgers
157,132237,Japanese
158,132237,Seafood
159,132237,Sushi
160,132238,Japanese
161,132238,Sushi
162,132239,Burgers
163,132240,American
164,132240,Bar_Pub_Brewery
165,132242,Greek
166,132243,French
167,132243,Italian
168,132244,French
169,132244,German
