id,placeID,hours,days
1,132012,12:00-22:00;,Sun;
2,132012,12:00-22:00;,Sun;
3,132012,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
4,132012,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
5,132012,12:00-22:00;,Sat;
6,132012,12:00-22:00;,Sat;
7,132023,11:00-00:00;,Sat;
8,132023,11:00-00:00;,Sat;
9,132023,11:00-00:00;,Sun;
10,132023,11:00-00:00;,Sun;
11,132023,11:00-00:00;,Mon;Tue;Wed;Thu;Fri;
12,132023,11:00-00:00;,Mon;Tue;Wed;Thu;Fri;
13,132024,11:00-21:00;,Sun;
14,132024,11:00-21:00;,Sun;
15,132024,11:00-21:00;,Mon;Tue;Wed;Thu;Fri;
16,132024,11:00-21:00;,Mon;Tue;Wed;Thu;Fri;
17,132024,11:00-21:00;,Sat;
18,132024,11:00-21:00;,Sat;
19,132026,12:00-14:30;,Mon;Tue;Wed;Thu;Fri;
20,132026,12:00-14:30;,Mon;Tue;Wed;Thu;Fri;
21,132030,12:00-15:00;15:00-21:00;,Sun;
22,132030,12:00-15:00;15:00-21:00;,Sun;
23,132030,12:00-15:00;15:00-21:00;,Mon;Tue;Wed;Thu;Fri;
24,132030,12:00-15:00;15:00-21:00;,Mon;Tue;Wed;Thu;Fri;
25,132030,12:00-15:00;15:00-21:00;,Sat;
26,132030,12:00-15:00;15:00-21:00;,Sat;
27,132097,06:30-21:00;,Mon;Tue;Wed;Thu;Fri;
28,132097,06:30-21:00;,Mon;Tue;Wed;Thu;Fri;
29,132097,06:30-22:00;,Sat;
30,132097,06:30-22:00;,Sun;
31,132097,06:30-22:00;,Sat;
32,132097,06:30-22:00;,Sun;
33,132103,11:00-16:00;16:00-13:00;16:00-12:00;16:00-21:00;,Sun;
34,132103,11:00-16:00;16:00-13:00;16:00-12:00;16:00-21:00;,Sun;
35,132103,11:00-16:00;16:00-13:00;16:00-12:00;16:00-21:00;,Mon;Tue;Wed;Thu;Fri;
36,132103,11:00-16:00;16:00-13:00;16:00-12:00;16:00-21:00;,Mon;Tue;Wed;Thu;Fri;
37,132107,12:00-22:00;,Sat;
38,132107,12:00-22:00;,Sun;
39,132107,12:00-22:00;,Sun;
40,132107,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
41,132107,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
42,132107,12:00-22:00;,Sat;
43,132108,17:00-01:00;,Sat;
44,132108,17:00-01:00;,Sun;
45,132108,17:00-01:00;,Sun;
46,132108,17:00-01:00;,Mon;Tue;Wed;Thu;Fri;
