id,placeID,parking_lot
1,132001,public
2,132002,street
3,132003,fee
4,132004,public
5,132005,street
6,132005,fee
7,132006,street
8,132007,yes
9,132008,street
10,132009,public
11,132010,yes
12,132010,public
13,132012,fee
14,132012,public
15,132013,yes
16,132014,street
17,132015,street
18,132016,street
19,132017,fee
20,132018,yes
21,132019,yes
22,132020,valet parking
23,132021,street
24,132022,public
25,132023,street
26,132023,fee
27,132024,street
28,132024,fee
29,132025,street
30,132026,yes
31,132028,valet parking
32,132028,validated parking
33,132030,public
34,132030,public
35,132031,street
36,132031,valet parking
37,132031,validated parking
38,132083,public
39,132087,street
40,132092,street
41,132094,public
42,132096,street
43,132097,yes
44,132098,yes
45,132100,public
46,132100,validated parking
47,132101,fee
48,132101,street
49,132102,street
50,132103,street
51,132105,fee
52,132106,public
53,132107,fee
54,132108,public
55,132108,public
56,132108,street
57,132109,street
58,132109,fee
59,132114,street
60,132115,street
61,132116,street
62,132118,public
63,132119,street
64,132120,none
65,132121,none
66,132125,fee
67,132125,street
68,132126,fee
69,132126,street
70,132127,yes
71,132128,fee
72,132128,public
73,132130,yes
74,132131,yes
75,132132,public
76,132133,street
77,132136,fee
78,132137,public
79,132137,street
80,132138,fee
81,132145,public
82,132146,public
83,132147,street
84,132147,street
85,132155,street
86,132155,public
87,132156,street
88,132157,public
89,132159,none
90,132160,none
91,132161,none
92,132161,none
93,132162,none
94,132163,none
95,132164,none
96,132165,none
97,132166,none
98,132166,none
99,132166,none
100,132167,yes
101,132171,none
102,132171,yes
103,132174,yes
104,132175,none
105,132177,none
106,132177,none
107,132177,none
108,132180,none
109,132182,none
110,132182,yes
111,132184,none
112,132184,yes
113,132186,yes
114,132186,yes
115,132187,public
116,132187,public
117,132191,yes
118,132192,yes
119,132201,none
120,132203,none
121,132204,public
122,132206,public
123,132207,none
124,132207,none
125,132208,public
126,132209,yes
127,132210,public
128,132211,public
129,132212,public
130,132213,public
131,132214,yes
132,132214,none
133,132215,public
134,132216,none
135,132216,none
136,132217,public
137,132217,yes
138,132218,yes
139,132220,yes
140,132221,yes
141,132223,yes
142,132223,none
143,132223,none
144,132225,yes
145,132226,yes
