,placeID,latitude,longitude,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,cuisine,parking_lot,label
0,132001,23.752304100000003,-99.16691329999999,0,2,0,0,1,0,0,1,44,5,0.0
1,132002,23.726819,-99.1265059,0,0,0,1,1,0,0,0,19,6,0.0
2,132003,23.7309245,-99.1451848,0,0,0,1,1,0,0,0,17,2,0.0
3,132004,22.141647100000004,-100.9927118,0,4,0,1,1,0,0,0,19,5,0.0
4,132005,18.922290399999998,-99.234332,0,4,0,2,1,0,1,0,45,6,0.0
5,132005,23.752364800000002,-99.16528790000001,0,4,0,1,0,0,1,0,19,5,0.0
6,132006,23.7521677,-99.16570899999999,0,4,0,1,1,0,0,1,44,1,0.0
7,132007,23.7588052,-99.16512970000001,0,2,0,1,1,1,1,1,21,5,0.0
8,132008,23.760268300000003,-99.16586459999999,0,4,0,1,1,1,1,0,17,2,0.0
9,132009,23.7529035,-99.165076,0,2,0,1,0,0,1,0,17,1,0.0
10,132010,23.7375834,-99.1351318,0,0,0,1,0,0,1,0,21,2,0.0
11,132010,23.752930499999998,-99.1644725,0,0,0,1,1,0,0,0,44,6,0.0
12,132012,23.735523399999998,-99.1295877,0,0,0,1,1,0,0,0,45,2,0.0
13,132012,23.752942800000003,-99.1646791,0,0,0,1,1,0,0,0,44,1,0.0
14,132013,23.7525107,-99.1669536,0,0,0,1,1,0,0,0,17,5,0.0
15,132014,23.736797699999997,-99.1342413,0,0,0,1,1,0,0,0,44,5,0.0
16,132015,23.7526973,-99.1633594,0,0,0,1,1,0,1,0,44,5,0.0
17,132016,23.738212,-99.1519547,0,0,0,1,1,0,0,0,17,6,0.0
18,132017,23.7292162,-99.1323571,0,4,0,0,0,0,1,0,44,1,0.0
19,132018,23.732422600000003,-99.15866020000001,0,0,0,0,1,1,0,1,44,1,0.0
20,132019,23.7318602,-99.1504365,0,4,0,2,0,0,0,0,44,4,0.0
21,132020,22.1489337,-101.01984499999999,2,3,0,1,0,0,0,0,17,5,0.0
22,132021,23.754356899999998,-99.171288,0,0,1,1,1,0,0,1,44,2,0.0
23,132022,23.752707100000002,-99.1625655,0,4,0,1,0,0,1,0,44,5,0.0
24,132023,23.7521965,-99.16663170000001,0,2,0,1,1,0,0,1,45,6,0.0
25,132023,22.1477379,-100.9906163,0,0,0,2,0,0,0,0,44,5,0.0
26,132024,22.153323999999998,-101.0195459,0,0,0,2,0,0,0,0,19,6,0.0
27,132024,18.9101777,-99.2315438,1,0,0,0,0,0,0,0,52,5,0.0
28,132025,18.8820871,-99.1630268,1,2,1,2,0,0,0,1,44,1,0.0
29,132026,18.9257734,-99.2326355,0,4,1,2,0,0,1,0,44,4,0.0
30,132028,18.869992899999996,-99.2103195,1,2,0,0,1,0,0,1,6,8,0.0
31,132028,22.1473922,-100.983092,0,0,0,1,1,0,0,1,19,2,0.0
32,132030,22.1508494,-100.9397522,0,0,0,1,1,0,0,0,45,2,0.0
33,132030,22.156469,-100.98554,0,4,1,0,1,0,0,0,44,5,0.0
34,132031,22.1262926,-100.90077640000001,0,0,0,0,0,0,0,0,4,4,0.0
35,132031,22.142273199999998,-100.94265370000001,0,2,1,0,1,0,0,1,46,8,0.0
36,132031,22.144336499999998,-100.9373825,0,0,0,0,1,0,0,1,61,2,0.0
37,132083,22.136872,-100.9345736,0,4,0,1,1,0,0,0,17,5,0.0
38,132087,22.1378633,-100.9383273,1,0,0,1,0,0,0,0,20,5,0.0
39,132092,22.1513782,-100.97463370000001,1,0,0,1,1,0,0,0,4,2,0.0
40,132094,22.1312917,-100.9371941,0,0,0,1,1,0,0,0,33,5,0.0
41,132096,22.1480965,-101.0173023,0,4,0,1,0,0,1,0,44,1,0.0
42,132097,22.150642899999998,-100.9870148,1,0,1,1,2,0,0,0,20,1,0.0
43,132098,22.141219800000002,-100.93131070000001,0,4,0,1,0,0,0,0,44,2,0.0
44,132100,22.1412384,-100.9239252,0,4,0,0,0,0,0,0,5,8,0.0
45,132100,22.1430781,-100.9354788,0,4,0,0,1,0,0,0,10,6,0.0
46,132101,22.173595499999998,-100.9946027,0,4,0,2,0,0,0,0,5,5,0.0
47,132101,22.1499013,-100.9937793,1,3,0,0,2,0,1,1,10,5,0.0
48,132102,22.135363899999998,-100.93494770000001,0,0,0,1,1,0,0,0,20,5,0.0
49,132103,22.139577600000003,-101.0278863,0,0,0,1,1,0,0,0,6,6,0.0
50,132105,22.1795169,-100.9584358,0,0,0,1,1,0,0,0,45,2,0.0
51,132106,22.150305,-100.98913370000001,1,3,1,1,1,1,0,1,29,6,0.0
52,132107,22.1511348,-100.9823115,0,2,2,1,0,0,0,0,3,2,0.0
53,132108,22.1534997,-100.97624300000001,1,4,0,1,0,0,0,0,3,2,0.0
54,132108,22.1500193,-100.9799203,2,3,0,1,1,1,0,0,25,5,0.0
55,132108,22.1544736,-100.98580909999998,0,4,1,1,1,0,0,0,32,5,0.0
56,132109,22.160380800000002,-100.9880447,0,4,0,2,0,0,1,0,29,6,0.0
57,132109,22.147622,-101.01027490000001,1,0,0,1,1,0,1,0,60,5,0.0
58,132114,22.1449787,-101.0056829,0,0,0,1,1,1,1,0,20,5,0.0
