smoker,drink_level,marital_status,hijos,birth_year,interest,personality,religion,activity
0,0,0,0,1989,0,0,0,0
0,0,0,0,1990,1,1,1,0
0,1,0,0,1989,2,2,1,0
0,0,0,0,1940,0,2,0,1
0,0,0,0,1992,2,0,1,0
1,1,0,0,1989,0,2,0,0
0,2,0,0,1989,0,0,1,0
0,1,0,0,1989,1,2,1,0
0,0,0,1,1991,0,0,1,0
0,1,1,1,1987,1,2,0,0
0,0,0,0,1989,0,2,1,0
0,2,0,0,1988,1,2,1,0
0,0,2,0,1982,3,0,0,1
0,0,0,0,1990,2,2,1,0
1,1,0,0,1989,1,0,1,0
0,2,0,0,1991,4,0,1,0
0,2,0,0,1991,3,1,0,1
1,2,0,0,1989,1,0,2,0
0,2,0,0,1989,0,0,1,0
0,0,0,0,1982,1,2,1,1
0,1,0,2,1984,2,2,1,0
0,2,0,0,1990,0,2,1,0
0,2,0,0,1988,2,2,1,0
0,0,0,0,1930,2,2,0,0
0,1,0,0,1990,2,0,1,0
0,0,0,0,1989,1,1,1,0
1,1,0,0,1989,3,0,1,0
0,0,0,0,1989,0,2,2,0
1,2,0,0,1990,0,3,1,0
0,2,0,0,1991,4,2,1,0
0,0,1,1,1992,2,2,1,3
0,0,0,0,1989,0,2,1,0
0,1,0,0,1991,2,2,0,0
0,2,0,0,1990,1,0,1,0
1,2,0,0,1985,0,1,0,0
0,1,0,0,1991,2,2,1,0
0,1,0,0,1990,0,0,1,0
1,1,0,0,1930,0,0,1,0
0,1,0,0,1989,2,2,0,0
0,0,0,0,1994,2,0,1,0
0,0,0,0,1985,4,1,1,1
0,0,0,0,1943,1,0,2,0
0,0,0,0,1989,1,2,0,0
1,1,1,1,1969,0,0,1,1
0,2,0,0,1991,1,0,3,0
0,1,0,0,1990,3,2,1,0
0,0,0,0,1992,3,0,1,0
1,2,0,0,1988,4,0,0,0
0,2,0,0,1991,2,2,0,0
0,1,0,0,1989,0,2,0,0
0,2,0,0,1979,0,0,0,1
1,1,0,0,1990,2,3,1,0
0,2,0,0,1990,0,0,1,0
0,1,0,0,1992,1,0,1,0
0,0,1,2,1952,2,2,1,1
0,1,0,0,1930,2,2,1,0
1,2,0,0,1989,1,1,1,0
0,0,0,0,1991,0,2,1,0
0,0,0,0,1987,1,0,1,0
0,2,0,0,1991,1,0,1,0
0,1,0,0,1990,2,2,1,1
0,2,0,0,1985,0,2,1,0
0,2,0,0,1988,4,3,1,0
0,2,0,0,1991,0,1,0,0
0,0,0,0,1989,1,3,1,0
0,0,0,0,1986,1,0,1,0
0,0,0,0,1987,1,0,2,0
0,2,0,0,1988,1,0,1,0
0,1,0,0,1983,0,0,1,1
0,2,0,0,1991,0,0,1,0
0,0,0,0,1930,2,1,0,0
0,2,0,0,1984,4,0,2,0
0,0,2,1,1989,2,2,0,3
1,2,0,1,1967,4,2,1,1
0,2,0,0,1991,1,0,1,0
0,1,1,1,1987,1,0,1,0
0,1,1,1,1987,1,0,1,0
1,1,0,0,1983,0,2,1,1
0,0,0,0,1992,1,0,1,0
1,1,0,0,1987,0,2,1,0
0,2,0,0,1991,0,2,1,0
1,0,0,0,1989,0,2,1,0
0,0,0,0,1981,2,2,0,0
1,2,0,0,1991,0,0,1,0
0,0,0,0,1988,1,0,1,0
0,1,0,0,1991,0,1,1,0
0,0,0,0,1989,0,0,1,0
0,1,0,0,1991,2,2,1,0
1,2,0,0,1990,0,3,1,0
0,1,0,0,1988,0,0,1,0
0,2,0,0,1989,4,0,0,0
0,0,0,2,1990,0,0,1,0
1,2,0,0,1990,0,0,1,0
0,0,0,0,1991,0,0,1,0
0,0,1,0,1986,0,0,1,0
0,0,0,0,1990,4,2,1,0
0,0,0,0,1990,0,2,1,0
0,1,0,0,1991,2,0,1,0
1,1,0,0,1989,1,3,1,0
0,2,0,0,1990,4,2,2,0
0,2,0,0,1988,4,1,1,0
0,1,0,0,1989,4,3,0,0
0,0,0,0,1989,1,2,4,1
1,1,0,0,1991,1,1,1,0
0,1,0,0,1991,0,2,2,0
0,2,0,0,1930,1,2,1,1
0,0,0,0,1989,0,2,1,0
0,0,0,0,1983,1,0,1,0
0,0,0,0,1989,4,0,1,0
0,0,0,0,1993,0,0,1,0
1,2,0,0,1991,2,2,1,0
1,2,0,0,1991,2,2,1,0
0,2,0,0,1990,2,0,1,0
0,0,0,0,1991,0,2,1,0
1,1,0,0,1990,0,2,1,0
0,1,1,1,1987,1,0,1,0
0,0,0,0,1982,1,0,1,1
1,2,0,0,1987,1,0,0,0
0,0,0,0,1992,4,0,1,0
0,0,0,0,1930,0,2,0,0
0,1,1,0,1987,0,0,1,2
0,0,0,0,1930,2,2,0,0
0,0,0,0,1987,1,2,1,0
0,2,0,0,1991,2,2,1,0
0,2,0,0,1990,1,2,1,0
0,2,0,0,1990,1,2,1,0
0,0,0,0,1992,0,2,1,0
0,2,0,0,1986,0,0,1,0
0,2,0,0,1989,0,0,0,0
0,0,0,0,1989,2,2,0,0
1,1,1,1,1990,4,2,0,0
0,2,0,0,1991,2,2,0,0
0,0,0,0,1991,2,2,0,0
0,2,0,0,1991,0,2,1,0
0,2,0,1,1988,0,1,1,0
1,1,0,0,1990,3,0,1,0
0,1,0,0,1989,4,2,1,0
0,1,0,0,1991,0,0,0,0
